Local Time, Program run time, ID (hex),DLC,Data(hex)
2022-08-23 14:14:59.585992,416.284000,1FF,8, FF FF FF FF 00 00 00 00
2022-08-23 14:14:59.586258,416.550000,2FF,8, FF FF FF FF 00 00 00 00
2022-08-23 14:14:59.586290,416.582000,3FF,8, 00 00 00 00 00 00 00 00
2022-08-23 14:14:59.586388,416.680000,4FF,6, 6F 00 F2 5D 00 00
2022-08-23 14:14:59.605197,435.489000,1FF,8, FF FF FF FF AC 00 00 00
2022-08-23 14:14:59.605297,435.589000,2FF,8, FF FF FF FF E8 03 00 00
2022-08-23 14:14:59.605461,435.753000,3FF,8, 00 00 00 00 00 00 00 00
2022-08-23 14:14:59.605543,435.835000,4FF,6, 6F 00 F2 5D 00 00
2022-08-23 14:14:59.625433,455.725000,1FF,8, 00 00 00 00 9D 03 00 00
2022-08-23 14:14:59.625560,455.852000,2FF,8, 01 00 00 00 E8 03 00 00
2022-08-23 14:14:59.625583,455.875000,3FF,8, 00 00 00 00 00 00 00 00
2022-08-23 14:14:59.625705,455.997000,4FF,6, 74 00 F2 5D 00 00
2022-08-23 14:14:59.645681,475.973000,1FF,8, 00 00 00 00 D0 07 00 00
2022-08-23 14:14:59.645824,476.116000,2FF,8, 04 00 00 00 E8 03 00 00
2022-08-23 14:14:59.645857,476.149000,3FF,8, 00 00 00 00 00 00 00 00
2022-08-23 14:14:59.645997,476.289000,4FF,6, 6F 00 DE 5D 00 00
2022-08-23 14:14:59.666012,496.304000,1FF,8, 02 00 00 00 F8 10 00 00
2022-08-23 14:14:59.666230,496.522000,2FF,8, 09 00 00 00 E8 03 00 00
2022-08-23 14:14:59.666267,496.559000,3FF,8, 00 00 00 00 00 00 00 00
2022-08-23 14:14:59.666294,496.586000,4FF,6, 6A 00 CA 5D 00 00
2022-08-23 14:14:59.686036,516.328000,1FF,8, 05 00 00 00 0B 1A 00 00
2022-08-23 14:14:59.686112,516.404000,2FF,8, 0F 00 00 00 E8 03 00 00
2022-08-23 14:14:59.686223,516.515000,3FF,8, 24 00 00 00 00 00 00 00
2022-08-23 14:14:59.686291,516.583000,4FF,6, 65 00 8E 5D 00 00
2022-08-23 14:14:59.706282,536.574000,1FF,8, 0B 00 00 00 5C 22 00 00
2022-08-23 14:14:59.706460,536.752000,2FF,8, 17 00 00 00 E8 03 00 00
2022-08-23 14:14:59.706490,536.782000,3FF,8, 24 00 00 00 00 00 00 00
2022-08-23 14:14:59.706551,536.843000,4FF,6, 65 00 66 5D 00 00
2022-08-23 14:14:59.726368,556.660000,1FF,8, 12 00 00 00 E8 27 00 00
2022-08-23 14:14:59.726462,556.754000,2FF,8, 20 00 00 00 E8 03 00 00
2022-08-23 14:14:59.726584,556.876000,3FF,8, 24 00 00 00 00 00 00 00
2022-08-23 14:14:59.726687,556.979000,4FF,6, 6A 00 CA 5D 00 00
2022-08-23 14:14:59.746386,576.678000,1FF,8, 1B 00 00 00 2C 2A 00 00
2022-08-23 14:14:59.746516,576.808000,2FF,8, 28 00 00 00 E8 03 00 00
2022-08-23 14:14:59.746635,576.927000,3FF,8, 24 00 00 00 00 00 00 00
2022-08-23 14:14:59.746746,577.038000,4FF,6, 6F 00 B6 5D 00 00
2022-08-23 14:14:59.766485,596.777000,1FF,8, 26 00 00 00 8D 25 00 00
2022-08-23 14:14:59.766611,596.903000,2FF,8, 31 00 00 00 E8 03 00 00
2022-08-23 14:14:59.766758,597.050000,3FF,8, 24 00 00 00 00 00 00 00
2022-08-23 14:14:59.766829,597.121000,4FF,6, 65 00 8E 5D 00 00
2022-08-23 14:14:59.786609,616.901000,1FF,8, 30 00 00 00 C1 1F 00 00
2022-08-23 14:14:59.786667,616.959000,2FF,8, 3A 00 00 00 E8 03 00 00
2022-08-23 14:14:59.786792,617.084000,3FF,8, 59 01 00 00 00 00 00 00
2022-08-23 14:14:59.786894,617.186000,4FF,6, 6A 00 F2 5D 00 00
2022-08-23 14:14:59.806726,637.018000,1FF,8, 3B 00 00 00 9B 17 00 00
2022-08-23 14:14:59.806847,637.139000,2FF,8, 43 00 00 00 E8 03 00 00
2022-08-23 14:14:59.806972,637.264000,3FF,8, 59 01 00 00 00 00 00 00
2022-08-23 14:14:59.807076,637.368000,4FF,6, 6A 00 06 5E 00 00
2022-08-23 14:14:59.826804,657.096000,1FF,8, 45 00 00 00 DA 0C 00 00
2022-08-23 14:14:59.826904,657.196000,2FF,8, 4C 00 00 00 E8 03 00 00
2022-08-23 14:14:59.827027,657.319000,3FF,8, 59 01 00 00 00 00 00 00
2022-08-23 14:14:59.827135,657.427000,4FF,6, 6A 00 14 5F 00 00
2022-08-23 14:14:59.846882,677.174000,1FF,8, 4E 00 00 00 FB 07 00 00
2022-08-23 14:14:59.846998,677.290000,2FF,8, 54 00 00 00 E8 03 00 00
2022-08-23 14:14:59.847118,677.410000,3FF,8, 59 01 00 00 00 00 00 00
2022-08-23 14:14:59.847225,677.517000,4FF,6, 6A 00 06 5E 00 00
2022-08-23 14:14:59.866934,697.226000,1FF,8, 57 00 00 00 DF 04 00 00
2022-08-23 14:14:59.867049,697.341000,2FF,8, 5D 00 00 00 E8 03 00 00
2022-08-23 14:14:59.867179,697.471000,3FF,8, 59 01 00 00 00 00 00 00
2022-08-23 14:14:59.867326,697.618000,4FF,6, 6A 00 A2 5D 00 00
2022-08-23 14:14:59.887064,717.356000,1FF,8, 5F 00 00 00 B4 04 00 00
2022-08-23 14:14:59.887174,717.466000,2FF,8, 66 00 00 00 E8 03 00 00
2022-08-23 14:14:59.887341,717.633000,3FF,8, B4 01 00 00 00 00 00 00
2022-08-23 14:14:59.887411,717.703000,4FF,6, 65 00 A2 5D 00 00
2022-08-23 14:14:59.907102,737.394000,1FF,8, 67 00 00 00 0F 07 00 00
2022-08-23 14:14:59.907205,737.497000,2FF,8, 6F 00 00 00 E8 03 00 00
2022-08-23 14:14:59.907356,737.648000,3FF,8, B4 01 00 00 00 00 00 00
2022-08-23 14:14:59.907453,737.745000,4FF,6, 65 00 B6 5D 00 00
2022-08-23 14:14:59.927252,757.544000,1FF,8, 6F 00 00 00 3E 09 00 00
2022-08-23 14:14:59.927369,757.661000,2FF,8, 78 00 00 00 E8 03 00 00
2022-08-23 14:14:59.927453,757.745000,3FF,8, B4 01 00 00 00 00 00 00
2022-08-23 14:14:59.927557,757.849000,4FF,6, 6A 00 A2 5D 00 00
2022-08-23 14:14:59.947388,777.680000,1FF,8, 78 00 00 00 82 0B 00 00
2022-08-23 14:14:59.947505,777.797000,2FF,8, 80 00 00 00 E8 03 00 00
2022-08-23 14:14:59.947627,777.919000,3FF,8, B4 01 00 00 00 00 00 00
2022-08-23 14:14:59.947731,778.023000,4FF,6, 6F 00 F2 5D 00 00
2022-08-23 14:14:59.967403,797.695000,1FF,8, 81 00 00 00 1B 0D 00 00
2022-08-23 14:14:59.967527,797.819000,2FF,8, 89 00 00 00 E8 03 00 00
2022-08-23 14:14:59.967640,797.932000,3FF,8, B4 01 00 00 00 00 00 00
2022-08-23 14:14:59.967761,798.053000,4FF,6, 74 00 DE 5D 00 00
2022-08-23 14:14:59.987540,817.832000,1FF,8, 8A 00 00 00 5C 0D 00 00
2022-08-23 14:14:59.987657,817.949000,2FF,8, 92 00 00 00 E8 03 00 00
2022-08-23 14:14:59.987775,818.067000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:14:59.987876,818.168000,4FF,6, 6F 00 F2 5D 00 00
2022-08-23 14:15:00.007639,837.931000,1FF,8, 93 00 00 00 87 0D 00 00
2022-08-23 14:15:00.007741,838.033000,2FF,8, 9B 00 00 00 E8 03 00 00
2022-08-23 14:15:00.008823,839.115000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.008889,839.181000,4FF,6, 6A 00 06 5E 00 00
2022-08-23 14:15:00.027783,858.075000,1FF,8, 9C 00 00 00 1B 0D 00 00
2022-08-23 14:15:00.027886,858.178000,2FF,8, A4 00 00 00 E8 03 00 00
2022-08-23 14:15:00.028004,858.296000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.028108,858.400000,4FF,6, 6F 00 06 5E 00 00
2022-08-23 14:15:00.047917,878.209000,1FF,8, A5 00 00 00 82 0B 00 00
2022-08-23 14:15:00.048023,878.315000,2FF,8, AC 00 00 00 E8 03 00 00
2022-08-23 14:15:00.048149,878.441000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.048243,878.535000,4FF,6, 6A 00 06 5E 00 00
2022-08-23 14:15:00.068052,898.344000,1FF,8, AE 00 00 00 15 0A 00 00
2022-08-23 14:15:00.068149,898.441000,2FF,8, B5 00 00 00 E8 03 00 00
2022-08-23 14:15:00.068281,898.573000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.068375,898.667000,4FF,6, 6F 00 F2 5D 00 00
2022-08-23 14:15:00.088170,918.462000,1FF,8, B7 00 00 00 BF 09 00 00
2022-08-23 14:15:00.088288,918.580000,2FF,8, BE 00 00 00 E8 03 00 00
2022-08-23 14:15:00.088408,918.700000,3FF,8, 99 01 00 00 00 00 00 00
2022-08-23 14:15:00.088506,918.798000,4FF,6, 65 00 1A 5E 00 00
2022-08-23 14:15:00.108300,938.592000,1FF,8, C0 00 00 00 BD 08 00 00
2022-08-23 14:15:00.108411,938.703000,2FF,8, C7 00 00 00 E8 03 00 00
2022-08-23 14:15:00.108535,938.827000,3FF,8, 99 01 00 00 00 00 00 00
2022-08-23 14:15:00.108646,938.938000,4FF,6, 6F 00 F2 5D 00 00
2022-08-23 14:15:00.128365,958.657000,1FF,8, C8 00 00 00 BD 08 00 00
2022-08-23 14:15:00.128499,958.791000,2FF,8, D0 00 00 00 E8 03 00 00
2022-08-23 14:15:00.128621,958.913000,3FF,8, 99 01 00 00 00 00 00 00
2022-08-23 14:15:00.128699,958.991000,4FF,6, 6F 00 B6 5D 00 00
2022-08-23 14:15:00.148564,978.856000,1FF,8, D1 00 00 00 2A 0A 00 00
2022-08-23 14:15:00.148667,978.959000,2FF,8, D9 00 00 00 E8 03 00 00
2022-08-23 14:15:00.148785,979.077000,3FF,8, 99 01 00 00 00 00 00 00
2022-08-23 14:15:00.148887,979.179000,4FF,6, 6F 00 06 5E 00 00
2022-08-23 14:15:00.168618,998.910000,1FF,8, DA 00 00 00 17 0B 00 00
2022-08-23 14:15:00.168729,999.021000,2FF,8, E2 00 00 00 E8 03 00 00
2022-08-23 14:15:00.168858,999.150000,3FF,8, 99 01 00 00 00 00 00 00
2022-08-23 14:15:00.168944,999.236000,4FF,6, 6F 00 06 5E 00 00
2022-08-23 14:15:00.188735,1019.027000,1FF,8, E2 00 00 00 6F 0C 00 00
2022-08-23 14:15:00.188842,1019.134000,2FF,8, EB 00 00 00 E8 03 00 00
2022-08-23 14:15:00.188975,1019.267000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.189078,1019.370000,4FF,6, 6A 00 DE 5D 00 00
2022-08-23 14:15:00.208880,1039.172000,1FF,8, EB 00 00 00 1D 0E 00 00
2022-08-23 14:15:00.208990,1039.282000,2FF,8, F4 00 00 00 E8 03 00 00
2022-08-23 14:15:00.209114,1039.406000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.209208,1039.500000,4FF,6, 6A 00 DE 5D 00 00
2022-08-23 14:15:00.229018,1059.310000,1FF,8, F3 00 00 00 B6 0F 00 00
2022-08-23 14:15:00.229121,1059.413000,2FF,8, FD 00 00 00 E8 03 00 00
2022-08-23 14:15:00.229244,1059.536000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.229337,1059.629000,4FF,6, 6A 00 CA 5D 00 00
2022-08-23 14:15:00.249205,1079.497000,1FF,8, FC 00 00 00 FC 12 00 00
2022-08-23 14:15:00.249293,1079.585000,2FF,8, 05 01 00 00 E8 03 00 00
2022-08-23 14:15:00.249411,1079.703000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.249485,1079.777000,4FF,6, 65 00 8E 5D 00 00
2022-08-23 14:15:00.269285,1099.577000,1FF,8, 04 01 00 00 6A 14 00 00
2022-08-23 14:15:00.269397,1099.689000,2FF,8, 0E 01 00 00 E8 03 00 00
2022-08-23 14:15:00.269589,1099.881000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.269644,1099.936000,4FF,6, 6A 00 F2 5D 00 00
2022-08-23 14:15:00.289429,1119.721000,1FF,8, 0C 01 00 00 C4 16 00 00
2022-08-23 14:15:00.289537,1119.829000,2FF,8, 17 01 00 00 E8 03 00 00
2022-08-23 14:15:00.289659,1119.951000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.289758,1120.050000,4FF,6, 6A 00 CA 5D 00 00
2022-08-23 14:15:00.309649,1139.941000,1FF,8, 15 01 00 00 1C 18 00 00
2022-08-23 14:15:00.309721,1140.013000,2FF,8, 20 01 00 00 E8 03 00 00
2022-08-23 14:15:00.309828,1140.120000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.309906,1140.198000,4FF,6, 6F 00 DE 5D 00 00
2022-08-23 14:15:00.329946,1160.238000,1FF,8, 1E 01 00 00 B9 1B 00 00
2022-08-23 14:15:00.330142,1160.434000,2FF,8, 29 01 00 00 E8 03 00 00
2022-08-23 14:15:00.330166,1160.458000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.330245,1160.537000,4FF,6, 6A 00 7A 5D 00 00
2022-08-23 14:15:00.350181,1180.473000,1FF,8, 26 01 00 00 7D 1D 00 00
2022-08-23 14:15:00.350312,1180.604000,2FF,8, 31 01 00 00 E8 03 00 00
2022-08-23 14:15:00.350375,1180.667000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.350446,1180.738000,4FF,6, 6F 00 A2 5D 00 00
2022-08-23 14:15:00.370222,1200.514000,1FF,8, 2F 01 00 00 29 1E 00 00
2022-08-23 14:15:00.370325,1200.617000,2FF,8, 3A 01 00 00 E8 03 00 00
2022-08-23 14:15:00.370452,1200.744000,3FF,8, 7E 01 00 00 00 00 00 00
2022-08-23 14:15:00.370552,1200.844000,4FF,6, 6A 00 CA 5D 00 00
2022-08-23 14:15:00.390346,1220.638000,1FF,8, 38 01 00 00 54 1E 00 00
2022-08-23 14:15:00.390453,1220.745000,2FF,8, 43 01 00 00 E8 03 00 00
2022-08-23 14:15:00.390570,1220.862000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.390681,1220.973000,4FF,6, 65 00 06 5E 00 00
2022-08-23 14:15:00.410437,1240.729000,1FF,8, 40 01 00 00 AC 1F 00 00
2022-08-23 14:15:00.410567,1240.859000,2FF,8, 4C 01 00 00 E8 03 00 00
2022-08-23 14:15:00.410701,1240.993000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.410806,1241.098000,4FF,6, 6A 00 8E 5D 00 00
2022-08-23 14:15:00.430481,1260.773000,1FF,8, 49 01 00 00 B0 21 00 00
2022-08-23 14:15:00.430618,1260.910000,2FF,8, 55 01 00 00 E8 03 00 00
2022-08-23 14:15:00.430743,1261.035000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.430829,1261.121000,4FF,6, 6A 00 F2 5D 00 00
2022-08-23 14:15:00.450710,1281.002000,1FF,8, 52 01 00 00 35 24 00 00
2022-08-23 14:15:00.450766,1281.058000,2FF,8, 5E 01 00 00 E8 03 00 00
2022-08-23 14:15:00.450889,1281.181000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.450993,1281.285000,4FF,6, 6A 00 52 5D 00 00
2022-08-23 14:15:00.470783,1301.075000,1FF,8, 5A 01 00 00 B8 25 00 00
2022-08-23 14:15:00.470900,1301.192000,2FF,8, 67 01 00 00 E8 03 00 00
2022-08-23 14:15:00.471015,1301.307000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.471120,1301.412000,4FF,6, 65 00 B6 5D 00 00
2022-08-23 14:15:00.490796,1321.088000,1FF,8, 63 01 00 00 39 26 00 00
2022-08-23 14:15:00.490927,1321.219000,2FF,8, 70 01 00 00 E8 03 00 00
2022-08-23 14:15:00.491041,1321.333000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.491121,1321.413000,4FF,6, 65 00 8E 5D 00 00
2022-08-23 14:15:00.510931,1341.223000,1FF,8, 6B 01 00 00 FD 27 00 00
2022-08-23 14:15:00.511041,1341.333000,2FF,8, 79 01 00 00 E8 03 00 00
2022-08-23 14:15:00.511194,1341.486000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.511266,1341.558000,4FF,6, 6A 00 8E 5D 00 00
2022-08-23 14:15:00.531058,1361.350000,1FF,8, 74 01 00 00 6D 2A 00 00
2022-08-23 14:15:00.531174,1361.466000,2FF,8, 81 01 00 00 E8 03 00 00
2022-08-23 14:15:00.531291,1361.583000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.531399,1361.691000,4FF,6, 6A 00 06 5E 00 00
2022-08-23 14:15:00.551267,1381.559000,1FF,8, 7C 01 00 00 5D 2D 00 00
2022-08-23 14:15:00.551361,1381.653000,2FF,8, 8A 01 00 00 E8 03 00 00
2022-08-23 14:15:00.551475,1381.767000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.551578,1381.870000,4FF,6, 65 00 7A 5D 00 00
2022-08-23 14:15:00.571388,1401.680000,1FF,8, 85 01 00 00 A2 2F 00 00
2022-08-23 14:15:00.571491,1401.783000,2FF,8, 93 01 00 00 E8 03 00 00
2022-08-23 14:15:00.571599,1401.891000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.571710,1402.002000,4FF,6, 6A 00 7A 5D 00 00
2022-08-23 14:15:00.591648,1421.940000,1FF,8, 8E 01 00 00 BA 30 00 00
2022-08-23 14:15:00.591777,1422.069000,2FF,8, 9C 01 00 00 E8 03 00 00
2022-08-23 14:15:00.591855,1422.147000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.591956,1422.248000,4FF,6, 6A 00 06 5E 00 00
2022-08-23 14:15:00.611908,1442.200000,1FF,8, 97 01 00 00 A6 31 00 00
2022-08-23 14:15:00.612038,1442.330000,2FF,8, A5 01 00 00 E8 03 00 00
2022-08-23 14:15:00.612076,1442.368000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.612191,1442.483000,4FF,6, 6A 00 66 5D 00 00
2022-08-23 14:15:00.632021,1462.313000,1FF,8, 9F 01 00 00 FC 31 00 00
2022-08-23 14:15:00.632115,1462.407000,2FF,8, AD 01 00 00 E8 03 00 00
2022-08-23 14:15:00.632213,1462.505000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.632321,1462.613000,4FF,6, 6A 00 A2 5D 00 00
2022-08-23 14:15:00.652190,1482.482000,1FF,8, A8 01 00 00 81 34 00 00
2022-08-23 14:15:00.652298,1482.590000,2FF,8, B6 01 00 00 E8 03 00 00
2022-08-23 14:15:00.652398,1482.690000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.652505,1482.797000,4FF,6, 6A 00 3E 5D 00 00
2022-08-23 14:15:00.672385,1502.677000,1FF,8, B0 01 00 00 9D 37 00 00
2022-08-23 14:15:00.672489,1502.781000,2FF,8, BF 01 00 00 E8 03 00 00
2022-08-23 14:15:00.672626,1502.918000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.672739,1503.031000,4FF,6, 6A 00 66 5D 00 00
2022-08-23 14:15:00.692593,1522.885000,1FF,8, B9 01 00 00 22 3A 00 00
2022-08-23 14:15:00.692721,1523.013000,2FF,8, C8 01 00 00 E8 03 00 00
2022-08-23 14:15:00.692790,1523.082000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.692886,1523.178000,4FF,6, 6A 00 A2 5D 00 00
2022-08-23 14:15:00.712706,1542.998000,1FF,8, C2 01 00 00 7A 3B 00 00
2022-08-23 14:15:00.712786,1543.078000,2FF,8, D1 01 00 00 E8 03 00 00
2022-08-23 14:15:00.712932,1543.224000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.713017,1543.309000,4FF,6, 65 00 52 5D 00 00
2022-08-23 14:15:00.732855,1563.147000,1FF,8, CA 01 00 00 67 3C 00 00
2022-08-23 14:15:00.732934,1563.226000,2FF,8, DA 01 00 00 E8 03 00 00
2022-08-23 14:15:00.733058,1563.350000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.733145,1563.437000,4FF,6, 6A 00 8E 5D 00 00
2022-08-23 14:15:00.753051,1583.343000,1FF,8, D3 01 00 00 54 3D 00 00
